epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,611.51,0.45907,0.34218,0.86199,0.82332,0.79312,0.83796,0.64318,0.60289,0.38575,0.88978,0.000312497,0.000312497,0.000312497
43,626.063,0.45016,0.33865,0.86316,0.88451,0.78544,0.87219,0.65833,0.60724,0.37785,0.89182,0.000307289,0.000307289,0.000307289
44,640.597,0.45898,0.35476,0.87298,0.92038,0.77199,0.85074,0.64767,0.64167,0.38597,0.90133,0.000302082,0.000302082,0.000302082
45,655.189,0.46359,0.34402,0.86696,0.94651,0.72664,0.84701,0.6519,0.62944,0.38474,0.89715,0.000296874,0.000296874,0.000296874
46,669.732,0.4722,0.35187,0.873,0.91621,0.77645,0.87208,0.66134,0.60909,0.37032,0.88886,0.000291667,0.000291667,0.000291667
47,684.258,0.46946,0.35143,0.87277,0.90082,0.79405,0.85468,0.66144,0.61578,0.37366,0.89067,0.00028646,0.00028646,0.00028646
48,698.771,0.44541,0.33904,0.86617,0.92108,0.78248,0.84761,0.66422,0.63737,0.39179,0.89573,0.000281252,0.000281252,0.000281252
49,713.309,0.4515,0.33419,0.8664,0.93483,0.79131,0.84835,0.65469,0.61299,0.38407,0.89356,0.000276045,0.000276045,0.000276045
50,727.847,0.45596,0.33698,0.86938,0.92542,0.77777,0.84972,0.64971,0.62561,0.38309,0.89716,0.000270837,0.000270837,0.000270837
51,742.399,0.44532,0.33827,0.86128,0.93347,0.77486,0.85036,0.66004,0.61892,0.37727,0.89614,0.00026563,0.00026563,0.00026563
52,756.95,0.45481,0.34491,0.86845,0.93394,0.78539,0.85291,0.65764,0.60876,0.37099,0.89095,0.000260423,0.000260423,0.000260423
53,771.519,0.44378,0.33218,0.86791,0.93106,0.788,0.86487,0.64649,0.61966,0.38639,0.89586,0.000255215,0.000255215,0.000255215
54,786.052,0.4433,0.33433,0.86504,0.90722,0.77914,0.83997,0.63485,0.62233,0.3898,0.89301,0.000250008,0.000250008,0.000250008
55,800.594,0.45767,0.33461,0.86889,0.93492,0.75392,0.84931,0.63836,0.62037,0.37322,0.89244,0.0002448,0.0002448,0.0002448
56,815.123,0.43259,0.32235,0.86081,0.90873,0.77335,0.87011,0.63888,0.62611,0.37318,0.89915,0.000239593,0.000239593,0.000239593
57,829.645,0.4449,0.32841,0.86462,0.91179,0.78544,0.86154,0.64859,0.62966,0.38385,0.89836,0.000234386,0.000234386,0.000234386
58,844.183,0.44233,0.33033,0.86561,0.89917,0.72884,0.80504,0.613,0.62871,0.4038,0.89435,0.000229178,0.000229178,0.000229178
59,858.717,0.44333,0.3295,0.86975,0.90601,0.77408,0.80246,0.62012,0.61784,0.39525,0.89202,0.000223971,0.000223971,0.000223971
60,873.24,0.42608,0.32949,0.86208,0.9021,0.73633,0.80093,0.61933,0.61612,0.38451,0.88854,0.000218763,0.000218763,0.000218763
61,887.835,0.42945,0.31908,0.85849,0.79749,0.74339,0.83722,0.64544,0.62609,0.38331,0.8966,0.000213556,0.000213556,0.000213556
62,902.364,0.42362,0.31614,0.85443,0.88324,0.78694,0.84612,0.64444,0.64664,0.39222,0.9005,0.000208349,0.000208349,0.000208349
63,916.904,0.42101,0.31417,0.86336,0.91993,0.77327,0.84126,0.63968,0.64492,0.38901,0.90248,0.000203141,0.000203141,0.000203141
64,931.463,0.42862,0.30701,0.85422,0.94651,0.78089,0.84315,0.64159,0.62305,0.37475,0.89761,0.000197934,0.000197934,0.000197934
65,945.991,0.42203,0.31657,0.85578,0.92833,0.77508,0.86988,0.64759,0.63225,0.38059,0.89655,0.000192726,0.000192726,0.000192726
66,960.545,0.42315,0.31399,0.85806,0.81902,0.83696,0.84859,0.64137,0.63603,0.37006,0.89218,0.000187519,0.000187519,0.000187519
67,975.085,0.42722,0.31908,0.86267,0.84405,0.83437,0.84538,0.63812,0.62395,0.36376,0.89101,0.000182312,0.000182312,0.000182312
68,989.643,0.40596,0.31176,0.85276,0.83568,0.8235,0.83357,0.64079,0.61986,0.36289,0.88996,0.000177104,0.000177104,0.000177104
69,1004.22,0.40868,0.31844,0.85348,0.92946,0.72532,0.82828,0.63609,0.62653,0.37256,0.8934,0.000171897,0.000171897,0.000171897
70,1018.75,0.41902,0.31354,0.85976,0.8866,0.73566,0.76947,0.60781,0.62991,0.37973,0.89677,0.000166689,0.000166689,0.000166689
71,1033.29,0.4127,0.30447,0.86128,0.85775,0.74078,0.77627,0.60779,0.62277,0.37364,0.89196,0.000161482,0.000161482,0.000161482
72,1047.85,0.41465,0.30931,0.85552,0.86407,0.72271,0.78401,0.60676,0.62599,0.3727,0.89661,0.000156275,0.000156275,0.000156275
73,1062.4,0.41095,0.30546,0.85145,0.9035,0.73073,0.80459,0.62993,0.63022,0.37211,0.89918,0.000151067,0.000151067,0.000151067
74,1076.93,0.40949,0.3053,0.85689,0.89641,0.77559,0.84037,0.62745,0.622,0.37083,0.90202,0.00014586,0.00014586,0.00014586
75,1091.47,0.41223,0.30431,0.85057,0.90096,0.76427,0.86073,0.65189,0.62204,0.37211,0.89642,0.000140652,0.000140652,0.000140652
76,1106.02,0.41075,0.30891,0.85179,0.91388,0.73686,0.86302,0.64637,0.62124,0.36868,0.89662,0.000135445,0.000135445,0.000135445
77,1120.6,0.39843,0.29622,0.84837,0.89217,0.73999,0.85099,0.63821,0.63029,0.36089,0.90103,0.000130238,0.000130238,0.000130238
78,1135.14,0.40005,0.28846,0.85011,0.89232,0.77907,0.83073,0.62938,0.61626,0.35915,0.89907,0.00012503,0.00012503,0.00012503
79,1149.67,0.38791,0.29695,0.85268,0.90944,0.72998,0.81264,0.61605,0.62654,0.37136,0.90308,0.000119823,0.000119823,0.000119823
80,1164.21,0.40183,0.30425,0.85182,0.8962,0.73081,0.80231,0.61534,0.62057,0.36896,0.89757,0.000114615,0.000114615,0.000114615
81,1178.75,0.40003,0.30323,0.85773,0.8941,0.73396,0.79745,0.61328,0.62054,0.37106,0.89577,0.000109408,0.000109408,0.000109408
82,1193.29,0.39485,0.30024,0.86177,0.90561,0.73603,0.80814,0.61959,0.63236,0.36676,0.89851,0.000104201,0.000104201,0.000104201
83,1207.84,0.38619,0.29912,0.84793,0.92367,0.73635,0.84461,0.63752,0.63017,0.36555,0.90229,9.89932e-05,9.89932e-05,9.89932e-05
84,1222.38,0.39659,0.29181,0.8475,0.90358,0.72982,0.83696,0.64077,0.63459,0.36579,0.9027,9.37858e-05,9.37858e-05,9.37858e-05
85,1236.97,0.3826,0.28695,0.84633,0.93129,0.73296,0.84152,0.64902,0.63024,0.36269,0.90195,8.85784e-05,8.85784e-05,8.85784e-05
86,1251.46,0.3943,0.29065,0.852,0.90687,0.72617,0.82992,0.63233,0.63422,0.36484,0.90153,8.3371e-05,8.3371e-05,8.3371e-05
87,1265.99,0.39031,0.29452,0.84955,0.90065,0.74869,0.82552,0.63349,0.62201,0.36734,0.89839,7.81636e-05,7.81636e-05,7.81636e-05
88,1280.51,0.3758,0.29072,0.84455,0.89507,0.72018,0.79768,0.62415,0.62765,0.35946,0.89985,7.29562e-05,7.29562e-05,7.29562e-05
89,1295.04,0.38564,0.28645,0.84853,0.89943,0.72428,0.79927,0.63393,0.62298,0.35625,0.89864,6.77488e-05,6.77488e-05,6.77488e-05
90,1309.57,0.38195,0.28549,0.8444,0.89677,0.72723,0.79991,0.62956,0.62837,0.35583,0.90226,6.25414e-05,6.25414e-05,6.25414e-05
91,1324.95,0.37607,0.25805,0.82237,0.83967,0.73052,0.76483,0.60278,0.63195,0.36336,0.90679,5.7334e-05,5.7334e-05,5.7334e-05
92,1339.45,0.37271,0.25805,0.82152,0.86672,0.72256,0.77399,0.60772,0.62916,0.36088,0.9041,5.21266e-05,5.21266e-05,5.21266e-05
93,1353.97,0.3716,0.25048,0.82977,0.88957,0.71378,0.77817,0.61174,0.63284,0.3685,0.90497,4.69192e-05,4.69192e-05,4.69192e-05
94,1368.46,0.36604,0.24833,0.81305,0.85586,0.76171,0.78385,0.61351,0.62691,0.3621,0.90169,4.17118e-05,4.17118e-05,4.17118e-05
95,1382.94,0.36799,0.24604,0.81513,0.89,0.71227,0.77406,0.60963,0.62583,0.36694,0.90212,3.65044e-05,3.65044e-05,3.65044e-05
96,1397.44,0.35844,0.23712,0.81988,0.90923,0.72453,0.78784,0.61667,0.62432,0.3675,0.9011,3.1297e-05,3.1297e-05,3.1297e-05
97,1411.91,0.37057,0.24798,0.82404,0.91448,0.72729,0.81312,0.6279,0.62622,0.36992,0.90185,2.60896e-05,2.60896e-05,2.60896e-05
98,1426.42,0.3632,0.2424,0.81309,0.91007,0.72487,0.81375,0.62461,0.63397,0.36846,0.90305,2.08822e-05,2.08822e-05,2.08822e-05
99,1440.92,0.35734,0.24152,0.82115,0.91002,0.72452,0.81693,0.62866,0.63213,0.36682,0.90278,1.56748e-05,1.56748e-05,1.56748e-05
100,1455.41,0.35837,0.24211,0.81992,0.93382,0.72411,0.8106,0.62596,0.63223,0.36248,0.9033,1.04674e-05,1.04674e-05,1.04674e-05
